tag,to,from,weight
3841-10002fg,3841-6042473-10002fg,3857-6042473-10002fg,243252
3841-10002fg,3857-6042473-10002fg,Terminal_3857-6042473-10002fg_Terminal,243252
3841-10174fg,3841-10002-10002,Terminal_3841-10002-10002_Terminal,12527
3841-10174fg,3841-6042569-10174fg,3841-10002-10002,12527
3841-10174fg,3841-6042569-10174fg,3857-6042569-10174fg,6960
3841-10174fg,3841-6042569-10174fg,3882-6042569-10174fg,1393
3841-10174fg,3857-6042569-10174fg,Terminal_3857-6042569-10174fg_Terminal,6960
3841-10174fg,3882-6042569-10174fg,Terminal_3882-6042569-10174fg_Terminal,1393
3841-10196fg,3803-4071-4071,Terminal_3803-4071-4071_Terminal,3769
3841-10196fg,3811-1653-1653,Terminal_3811-1653-1653_Terminal,284
3841-10196fg,3811-5008536-9506fg,3811-1653-1653,284
3841-10196fg,3811-5008536-9506fg,3811-9527-9527,394
3841-10196fg,3811-6082096-6082096,3811-5008536-9506fg,678
3841-10196fg,3811-9506-9506,3811-6082096-6082096,678
3841-10196fg,3811-9527-9527,Terminal_3811-9527-9527_Terminal,394
3841-10196fg,3841-2502-2502,Terminal_3841-2502-2502_Terminal,569
3841-10196fg,3841-4071-4071,3803-4071-4071,3769
3841-10196fg,3841-5009203-10196fg,3841-2502-2502,569
3841-10196fg,3841-5009203-10196fg,3841-4071-4071,3769
3841-10196fg,3841-5009203-10196fg,3841-5947-5947,13886
3841-10196fg,3841-5009203-10196fg,3841-9506-9506,678
3841-10196fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,13886
3841-10196fg,3841-6002082-10196fg,3841-5009203-10196fg,868
3841-10196fg,3841-6002087-10196fg,3841-5009203-10196fg,18034
3841-10196fg,3841-9506-9506,3811-9506-9506,678
3841-10227fg,3811-10227-10227,Terminal_3811-10227-10227_Terminal,687
3841-10227fg,3811-6042607-10227fg,3811-10227-10227,687
3841-10227fg,3841-6042607-10227fg,3811-6042607-10227fg,690
3841-10283fg,3811-18468-18468,Terminal_3811-18468-18468_Terminal,287
3841-10283fg,3811-5002640-5002640,3835-5002640-5002640,21
3841-10283fg,3811-5007682-8593fg,3811-5002640-5002640,21
3841-10283fg,3811-5007682-8593fg,3811-9570-9570,11
3841-10283fg,3811-5009287-10283fg,3811-18468-18468,287
3841-10283fg,3811-5009287-10283fg,3811-8593-8593,32
3841-10283fg,3811-6042660-10283fg,3811-5009287-10283fg,269
3841-10283fg,3811-6042663-10283fg,3811-5009287-10283fg,50
3841-10283fg,3811-8593-8593,3811-5007682-8593fg,32
3841-10283fg,3811-9570-9570,Terminal_3811-9570-9570_Terminal,11
3841-10283fg,3835-1718-1718,Terminal_3835-1718-1718_Terminal,5
3841-10283fg,3835-1861-1861,Terminal_3835-1861-1861_Terminal,8
3841-10283fg,3835-5002640-5002640,3835-1718-1718,5
3841-10283fg,3835-5002640-5002640,3835-1861-1861,8
3841-10283fg,3835-5002640-5002640,3835-9570-9570,8
3841-10283fg,3835-9570-9570,Terminal_3835-9570-9570_Terminal,8
3841-10283fg,3841-6042660-10283fg,3811-6042660-10283fg,270
3841-10283fg,3841-6042663-10283fg,3811-6042663-10283fg,52
3841-1036fg,3803-2187-2187,Terminal_3803-2187-2187_Terminal,1091
3841-1036fg,3803-4102-4102,Terminal_3803-4102-4102_Terminal,205
3841-1036fg,3841-1668-1668,Terminal_3841-1668-1668_Terminal,10189
3841-1036fg,3841-1690-1690,3853-1690-1690,1025
3841-1036fg,3841-2187-2187,3803-2187-2187,1091
3841-1036fg,3841-2187-2187,Terminal_3841-2187-2187_Terminal,2189
3841-1036fg,3841-2458-2458,Terminal_3841-2458-2458_Terminal,2050
3841-1036fg,3841-4102-4102,3803-4102-4102,205
3841-1036fg,3841-4102-4102,Terminal_3841-4102-4102_Terminal,1804
3841-1036fg,3841-5001035-1036fg,3841-1668-1668,10189
3841-1036fg,3841-5001035-1036fg,3841-1690-1690,1025
3841-1036fg,3841-5001035-1036fg,3841-2187-2187,3280
3841-1036fg,3841-5001035-1036fg,3841-2458-2458,2050
3841-1036fg,3841-5001035-1036fg,3841-4102-4102,2009
3841-1036fg,3841-5001035-1036fg,3841-9570-9570,1947
3841-1036fg,3841-9570-9570,Terminal_3841-9570-9570_Terminal,1947
3841-1036fg,3853-1690-1690,Terminal_3853-1690-1690_Terminal,1025
3841-10401fg,3803-2277-2277,3811-2277-2277,7
3841-10401fg,3803-8590-8590,3811-8590-8590,2407
3841-10401fg,3803-8590-8590,Terminal_3803-8590-8590_Terminal,3473
3841-10401fg,3811-2277-2277,Terminal_3811-2277-2277_Terminal,7
3841-10401fg,3811-8590-8590,Terminal_3811-8590-8590_Terminal,8781
3841-10401fg,3841-1720-1720,3857-1720-1720,9809
3841-10401fg,3841-2277-2277,3803-2277-2277,7
3841-10401fg,3841-5009401-10401fg,3841-1720-1720,9809
3841-10401fg,3841-5009401-10401fg,3841-2277-2277,7
3841-10401fg,3841-5009401-10401fg,3841-5947-5947,59664
3841-10401fg,3841-5009401-10401fg,3841-8590-8590,12254
3841-10401fg,3841-5947-5947,Terminal_3841-5947-5947_Terminal,59664
3841-10401fg,3841-6042783-10401fg,3841-5009401-10401fg,798
3841-10401fg,3841-6042788-10401fg,3841-5009401-10401fg,10990
3841-10401fg,3841-6098751-10401fg,3841-5009401-10401fg,4044
3841-10401fg,3841-8590-8590,3803-8590-8590,5880
3841-10401fg,3841-8590-8590,3811-8590-8590,6374
